FID,la_s_code,local_authority,area_name,byelaw,date_designated,url,sh_src_id,sh_src,sh_date_uploaded
pub_apa.1,S12000034,Aberdeenshire,Fraserburgh,The Aberdeenshire Council Prohibition of Consumption of Alcohol in Designated Public Places (Fraserburgh) Byelaws 2006,2018-03-19,https://www.aberdeenshire.gov.uk/media/17749/fraserburgh-alcohol-byelaws.pdf,39,deafa3bc-830e-47d6-9333-d96e1138a246,2019-04-12
pub_apa.2,S12000034,Aberdeenshire,Peterhead,The Aberdeenshire Council Prohibition of Consumption of Alcohol in Designated Public Places (Peterhead) Byelaws 2011,2018-03-19,https://www.aberdeenshire.gov.uk/media/17753/peterhead-alcohol-byelaws-revised.pdf,40,deafa3bc-830e-47d6-9333-d96e1138a246,2019-04-12
pub_apa.3,S12000041,Angus,,,,,167,0833d165-ef17-44d5-a233-e3b60dd9a216,2025-10-27
pub_apa.4,S12000041,Angus,,,,,169,0833d165-ef17-44d5-a233-e3b60dd9a216,2025-10-27
pub_apa.5,S12000041,Angus,,,,,168,0833d165-ef17-44d5-a233-e3b60dd9a216,2025-10-27
pub_apa.6,S12000041,Angus,,,,,164,0833d165-ef17-44d5-a233-e3b60dd9a216,2025-10-27
pub_apa.7,S12000041,Angus,,,,,170,0833d165-ef17-44d5-a233-e3b60dd9a216,2025-10-27
pub_apa.8,S12000041,Angus,,,,,166,0833d165-ef17-44d5-a233-e3b60dd9a216,2025-10-27
pub_apa.9,S12000041,Angus,,,,,165,0833d165-ef17-44d5-a233-e3b60dd9a216,2025-10-27
pub_apa.10,S12000035,Argyll and Bute,Arrochar,,,https://www.argyll-bute.gov.uk/public-drinking-byelaws,49,c39c0204-10ee-4db0-9ad5-2ba612a1222c,2017-05-19
pub_apa.11,S12000035,Argyll and Bute,Bowmore,,,https://www.argyll-bute.gov.uk/public-drinking-byelaws,48,c39c0204-10ee-4db0-9ad5-2ba612a1222c,2017-05-19
