Name,BroadClass,Period,UnitaryAuthority,lon,lat
Nant y Gledrydd Standing Stone                                                                                                                        ,"Religious, Ritual and Funerary",Prehistoric,Gwynedd,-4.538877038012756,52.89874290537436
Medieval Ecclesiastical Structure SE of Ty'n y Coed Cottage                                                                                           ,"Religious, Ritual and Funerary",Medieval,Gwynedd,-4.088191258977043,52.82650743057542
Parc Castell Round Barrow                                                                                                                             ,"Religious, Ritual and Funerary",Prehistoric,Pembrokeshire,-4.879010326635407,51.90838925671371
Mynydd Castlebythe Round Barrows                                                                                                                      ,"Religious, Ritual and Funerary",Prehistoric,Pembrokeshire,-4.8690502976987355,51.93028006124077
Round Barrow 100m E of Thornbush                                                                                                                      ,"Religious, Ritual and Funerary",Prehistoric,Pembrokeshire,-5.02578121464852,51.8546623091672
Carnedd y Filiast Cairn                                                                                                                               ,"Religious, Ritual and Funerary",Prehistoric,Gwynedd,-3.6828377142992004,52.986782658197
Round Cairns c. 400m SE of Lan Fawr                                                                                                                   ,"Religious, Ritual and Funerary",Prehistoric,Ceredigion,-3.909513908467081,52.131068703044185
Banwen Gwys Round Cairns                                                                                                                              ,"Religious, Ritual and Funerary",Prehistoric,Powys,-3.7463897182552026,51.850853834477896
Blaenannerch Round Barrow                                                                                                                             ,"Religious, Ritual and Funerary",Prehistoric,Ceredigion,-4.557637825139462,52.11142052656772
"Gellifawr, Standing Stone 70m SW of                                                                                                                   ","Religious, Ritual and Funerary",Prehistoric,Pembrokeshire,-4.823606982001222,51.97456600588853
Medieval Settlement on Penybont Common                                                                                                                ,Domestic,Medieval,Powys,-3.2808688535476804,52.26906248344636
Pant y Rhiw Medieval Settlement                                                                                                                       ,Domestic,Medieval,Powys,-3.3466489140575644,52.2069311812625
Bank House Medieval Settlement                                                                                                                        ,Domestic,Medieval,Powys,-3.3420010671390035,52.23528771053383
Llys Rhosyr,Domestic,Medieval,Isle of Anglesey,-4.366179689475141,53.16198647272913
"St. Illtud's Church, Early Medieval Cross, Cross Shafts and Pillar","Religious, Ritual and Funerary",Early Medieval,Vale of Glamorgan,-3.488216584326668,51.40796288013653
Bronze Age tumulus north of Beili Haulwen                                                                                                             ,"Religious, Ritual and Funerary",Prehistoric,Powys,-3.476342280159106,52.359934866349896
Esgair Draenllwyn Round Cairn I                                                                                                                       ,"Religious, Ritual and Funerary",Prehistoric,Powys,-3.5842518671386636,52.537060098996335
Trelystan Church House Round Barrows                                                                                                                  ,"Religious, Ritual and Funerary",Prehistoric,Powys,-3.0935710192927215,52.63694615640358
Ysgwennant Barrow                                                                                                                                     ,"Religious, Ritual and Funerary",Prehistoric,Powys,-3.2052041356677465,52.86626053420536
Troedrhiwhir Mountain ring cairn                                                                                                                      ,"Religious, Ritual and Funerary",Prehistoric,Carmarthenshire,-3.8292241584419684,52.113855177646
Castell Olwen,Defence,Prehistoric,Ceredigion,-4.075316816325603,52.123158676317345
Carreg Hir Standing Stone                                                                                                                             ,"Religious, Ritual and Funerary",Prehistoric,Powys,-3.4556751331263875,52.560540828824486
Cerrig Llwydion Deserted Rural Settlement                                                                                                             ,Domestic,Post Medieval/Modern,Powys,-3.6400783799135548,52.24743567756034
Cwm Rhiwiau Stone Circle                                                                                                                              ,"Religious, Ritual and Funerary",Prehistoric,Powys,-3.3988255673335415,52.86422686989483
Tyddyn Tudur Enclosure                                                                                                                                ,Monument,Prehistoric,Conwy,-3.5291030674142445,53.033774117375714
Mynydd Rhyd Ddu Enclosure                                                                                                                             ,Defence,Prehistoric,Denbighshire,-3.4104225333886995,53.01869962538074
Long Hut North of Cwm Farm,Unassigned,Medieval,Gwynedd,-4.332719888938937,52.988722664852155
Enclosed Hut Group North West of Cwm Farm,Domestic,Prehistoric,Gwynedd,-4.3337497535550575,52.987650468712566
Standing Stone on Ty'r Coed Farm                                                                                                                      ,"Religious, Ritual and Funerary",Prehistoric,Swansea,-4.202498453621118,51.60325248476246
St Madoc's Church cross-incised stones                                                                                                                ,"Religious, Ritual and Funerary",Early Medieval,Swansea,-4.2563748976144264,51.61802022858028
Weobley Castle,Defence,Medieval,Swansea,-4.199275762162485,51.612764378310764
Sweyne's Howe chambered cairns                                                                                                                        ,"Religious, Ritual and Funerary",Prehistoric,Swansea,-4.2802449439063714,51.585274172538256
Llanelen Chapel Site                                                                                                                                  ,"Religious, Ritual and Funerary",Medieval,Swansea,-4.151748861477405,51.619364924093304
Round Barrow 450m E of Penbedw Hall                                                                                                                   ,"Religious, Ritual and Funerary",Prehistoric,Flintshire,-3.2440457363923345,53.2043219257728
"Canal Aqueduct over the River Twrch, Ystalyfera",Water Supply and Drainage,Post Medieval/Modern,Powys,-3.779883885870472,51.76833554704794
Loughor Castle,Defence,Medieval,Swansea,-4.077112999031655,51.66221059128743
Remains of Venallt Ironworks                                                                                                                          ,Industrial,Post Medieval/Modern,Neath Port Talbot,-3.6459205993329413,51.73193764352166
