data;value
1972;2,90
1973;4,60
1974;-1,80
1975;0,60
1976;3,80
1977;1,70
1978;3,10
1979;2,40
1980;0,10
1981;4,40
1982;4,50
1983;5,30
1984;-0,60
1985;2,90
1986;2,50
1987;3,00
1988;1,50
1989;-0,40
1990;1,00
1991;3,10
1992;3,20
1993;3,50
1994;1,70
1995;0,90
1996;2,10
1997;2,30
1998;2,60
1999;2,30
2000;4,20
2001;1,50
2002;1,80
2003;2,70
2004;1,30
2005;1,70
2006;1,90
2007;1,70
2008;-0,60
2009;-1,80
2010;1,80
2011;0,90
2012;-0,40
2013;-0,20
2014;0,40
2015;0,40
2016;0,70
2017;1,70
2018;0,50
2019;0,20
2020;1,30
2021;1,40
2022;0,50
2023;-0,40
2024;-0,80
